org,proyecto,usuario,avatar_url,pr_number,pr_title,merged_at,merged_date,url
ripple,docs.xrplevm.org,oeggert,https://avatars.githubusercontent.com/u/117319296?v=4,47,remove link to strobe,2025-10-22T23:51:43Z,2025-10-22,https://github.com/ripple/docs.xrplevm.org/pull/47
ripple,xrpl-wasm-stdlib,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,39,Revise README for examples and testing instructions,2025-10-22T22:52:41Z,2025-10-22,https://github.com/ripple/xrpl-wasm-stdlib/pull/39
ripple,xrpl-wasm-stdlib,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,28,redo docs,2025-10-22T21:12:20Z,2025-10-22,https://github.com/ripple/xrpl-wasm-stdlib/pull/28
ripple,xrpl-wasm-stdlib,tekvyy,https://avatars.githubusercontent.com/u/4990903?v=4,34,Fix: u64 field size mismatch in cached ledger object getter,2025-10-22T20:02:34Z,2025-10-22,https://github.com/ripple/xrpl-wasm-stdlib/pull/34
ripple,xrpl-wasm-stdlib,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,31,Rename several types to match rippled,2025-10-22T19:36:50Z,2025-10-22,https://github.com/ripple/xrpl-wasm-stdlib/pull/31
ripple,xrpl-wasm-stdlib,zgrguric,https://avatars.githubusercontent.com/u/108837406?v=4,33,Fix README paths for hello_world example,2025-10-22T18:49:07Z,2025-10-22,https://github.com/ripple/xrpl-wasm-stdlib/pull/33
ripple,xrpl-wasm-stdlib,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,30,Bump syn from 2.0.106 to 2.0.107,2025-10-22T15:12:40Z,2025-10-22,https://github.com/ripple/xrpl-wasm-stdlib/pull/30
ripple,xrpl-wasm-stdlib,zgrguric,https://avatars.githubusercontent.com/u/108837406?v=4,32,Update link to Example Projects in README,2025-10-22T15:05:16Z,2025-10-22,https://github.com/ripple/xrpl-wasm-stdlib/pull/32
ripple,craft,willemolding,https://avatars.githubusercontent.com/u/6880154?v=4,253,Add lib.rs to wasm-host-simulator so that wasm host can be embedded in other programs and tests,2025-10-20T19:55:23Z,2025-10-20,https://github.com/ripple/craft/pull/253
ripple,xrpl-wasm-stdlib,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,27,create basic testing UI,2025-10-20T17:15:50Z,2025-10-20,https://github.com/ripple/xrpl-wasm-stdlib/pull/27
ripple,xrpl-wasm-stdlib,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,29,Add READMEs for all the examples,2025-10-20T17:09:48Z,2025-10-20,https://github.com/ripple/xrpl-wasm-stdlib/pull/29
ripple,explorer,pdp2121,https://avatars.githubusercontent.com/u/71317875?v=4,1249,Add expand all and collapse all button for transaction raw tab,2025-10-16T20:41:14Z,2025-10-16,https://github.com/ripple/explorer/pull/1249
ripple,xrpl-wasm-stdlib,sappenin,https://avatars.githubusercontent.com/u/323659?v=4,26,Add HelloWorld example,2025-10-16T14:07:06Z,2025-10-16,https://github.com/ripple/xrpl-wasm-stdlib/pull/26
ripple,docs.xrplevm.org,vriveraPeersyst,https://avatars.githubusercontent.com/u/116574900?v=4,46,Clarify XRPL EVM Sidechain as a standalone L1,2025-10-15T23:34:56Z,2025-10-15,https://github.com/ripple/docs.xrplevm.org/pull/46
ripple,xrpl-wasm-stdlib,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,25,explicitly call deploy in tests,2025-10-15T22:11:24Z,2025-10-15,https://github.com/ripple/xrpl-wasm-stdlib/pull/25
ripple,xrpl-wasm-stdlib,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,24,"adjust scripts to run e2e-tests, make them more usable",2025-10-15T19:42:59Z,2025-10-15,https://github.com/ripple/xrpl-wasm-stdlib/pull/24
ripple,xrpl-wasm-stdlib,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,23,add e2e tests back,2025-10-14T16:55:34Z,2025-10-14,https://github.com/ripple/xrpl-wasm-stdlib/pull/23
ripple,xrpl-wasm-stdlib,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,22,combine all test data into a testContext object,2025-10-14T16:37:16Z,2025-10-14,https://github.com/ripple/xrpl-wasm-stdlib/pull/22
ripple,xrpl-wasm-stdlib,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,19,move package.json and package-lock.json to the top level for tests,2025-10-13T22:58:35Z,2025-10-13,https://github.com/ripple/xrpl-wasm-stdlib/pull/19
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,251,Bump reqwest from 0.12.23 to 0.12.24,2025-10-13T21:35:41Z,2025-10-13,https://github.com/ripple/craft/pull/251
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,250,Bump regex from 1.11.3 to 1.12.2,2025-10-13T21:28:06Z,2025-10-13,https://github.com/ripple/craft/pull/250
ripple,xrpl-wasm-stdlib,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,14,publish docs,2025-10-13T17:13:04Z,2025-10-13,https://github.com/ripple/xrpl-wasm-stdlib/pull/14
ripple,xrpl-wasm-stdlib,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,12,test all examples,2025-10-09T19:21:41Z,2025-10-09,https://github.com/ripple/xrpl-wasm-stdlib/pull/12
ripple,xrpl-wasm-stdlib,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,13,add prettier to pre-commit,2025-10-09T19:12:05Z,2025-10-09,https://github.com/ripple/xrpl-wasm-stdlib/pull/13
ripple,explorer,kuan121,https://avatars.githubusercontent.com/u/13514933?v=4,1245,"Explorer Account page revamp: Balances, Summary and Assets",2025-10-09T14:08:40Z,2025-10-09,https://github.com/ripple/explorer/pull/1245
ripple,xrpl-wasm-stdlib,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,11,get a basic test framework set up,2025-10-08T19:43:09Z,2025-10-08,https://github.com/ripple/xrpl-wasm-stdlib/pull/11
