org,proyecto,usuario,avatar_url,pr_number,pr_title,merged_at,merged_date,url
hyperliquid-dex,node,DaveBelv,https://avatars.githubusercontent.com/u/194892535?v=4,113,Add in Kinetiq x Hyperion seed nodes,2025-09-05T09:48:57Z,2025-09-05,https://github.com/hyperliquid-dex/node/pull/113
hyperliquid-dex,hyperliquid-python-sdk,hubertkirch,https://avatars.githubusercontent.com/u/45009631?v=4,206,feat(info): add extra agents info method,2025-09-04T18:07:31Z,2025-09-04,https://github.com/hyperliquid-dex/hyperliquid-python-sdk/pull/206
hyperliquid-dex,node,murakamikaze,https://avatars.githubusercontent.com/u/157380038?v=4,104,Migrating ValiDAO root peer Germany -> Japan,2025-09-04T13:40:57Z,2025-09-04,https://github.com/hyperliquid-dex/node/pull/104
hyperliquid-dex,node,curlycrypto184,https://avatars.githubusercontent.com/u/57609195?v=4,98,Update Nansen x HypurrCollective Seed nodes IP addresses,2025-09-04T13:39:40Z,2025-09-04,https://github.com/hyperliquid-dex/node/pull/98
hyperliquid-dex,hyperliquid-python-sdk,smypmsa,https://avatars.githubusercontent.com/u/43762166?v=4,203,feat(info): add 9 missing Info API methods,2025-08-31T18:24:27Z,2025-08-31,https://github.com/hyperliquid-dex/hyperliquid-python-sdk/pull/203
hyperliquid-dex,hyperliquid-rust-sdk,kfastov,https://avatars.githubusercontent.com/u/1312744?v=4,134,"Add tid, fee_token, and optional twap_id to UserFillsResponse struct",2025-08-27T17:48:20Z,2025-08-27,https://github.com/hyperliquid-dex/hyperliquid-rust-sdk/pull/134
hyperliquid-dex,hyperliquid-rust-sdk,silva-fj,https://avatars.githubusercontent.com/u/8374946?v=4,138,Add claim rewards action support,2025-08-27T17:47:05Z,2025-08-27,https://github.com/hyperliquid-dex/hyperliquid-rust-sdk/pull/138
hyperliquid-dex,hyperliquid-rust-sdk,kfastov,https://avatars.githubusercontent.com/u/1312744?v=4,137,Add active asset data to POST methods,2025-08-27T01:43:55Z,2025-08-27,https://github.com/hyperliquid-dex/hyperliquid-rust-sdk/pull/137
hyperliquid-dex,hyperliquid-python-sdk,smypmsa,https://avatars.githubusercontent.com/u/43762166?v=4,200,Add spotDeployState to Info class,2025-08-25T18:06:29Z,2025-08-25,https://github.com/hyperliquid-dex/hyperliquid-python-sdk/pull/200
hyperliquid-dex,node,dev-minsu,https://avatars.githubusercontent.com/u/5452940?v=4,107,Update HypurrCorea: SKYGG x DeSpread Seed nodes IP addresses,2025-08-23T15:35:28Z,2025-08-23,https://github.com/hyperliquid-dex/node/pull/107
hyperliquid-dex,hyperliquid-python-sdk,olzhang,https://avatars.githubusercontent.com/u/4936188?v=4,197,added aggregateByTime param into the user_fills_by_time method,2025-08-15T19:15:01Z,2025-08-15,https://github.com/hyperliquid-dex/hyperliquid-python-sdk/pull/197
hyperliquid-dex,hyperliquid-python-sdk,traderben,https://avatars.githubusercontent.com/u/95141121?v=4,193,Version 0.18.0,2025-08-12T18:41:51Z,2025-08-12,https://github.com/hyperliquid-dex/hyperliquid-python-sdk/pull/193
hyperliquid-dex,node,LiquidSpirit,https://avatars.githubusercontent.com/u/19887604?v=4,103,Update LiquidSpirit x Rekt Gang Non-Validator Seed IP Addresses,2025-08-11T14:01:25Z,2025-08-11,https://github.com/hyperliquid-dex/node/pull/103
hyperliquid-dex,hyperliquid-python-sdk,hail100,https://avatars.githubusercontent.com/u/7278395?v=4,183,feat: Api support timeout setting,2025-08-06T17:27:35Z,2025-08-06,https://github.com/hyperliquid-dex/hyperliquid-python-sdk/pull/183
