org,proyecto,usuario,avatar_url,pr_number,pr_title,merged_at,merged_date,url,additions,deletions,changed_lines
dogecoin,dogecoin,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,1297,"Bring back ""target"" property of getauxblock",2015-10-13T21:10:33Z,2015-10-13,https://github.com/dogecoin/dogecoin/pull/1297,,,
dogecoin,dogecoin,Sporklin,https://avatars.githubusercontent.com/u/7656263?v=4,1296,Updated miniupnpc version.,2015-10-12T21:42:22Z,2015-10-12,https://github.com/dogecoin/dogecoin/pull/1296,,,
dogecoin,dogecoin,acerix,https://avatars.githubusercontent.com/u/379534?v=4,1293,apply bitcoin patch for miniupnpc 1.9,2015-10-12T19:17:51Z,2015-10-12,https://github.com/dogecoin/dogecoin/pull/1293,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1278,Disable UI elements for selecting zero-fee,2015-10-11T08:03:17Z,2015-10-11,https://github.com/dogecoin/dogecoin/pull/1278,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1294,Merge in miniupnpc updates from Bitcoin Core,2015-10-10T20:06:22Z,2015-10-10,https://github.com/dogecoin/dogecoin/pull/1294,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1282,Update about menu icon to Dogecoin,2015-10-10T16:05:33Z,2015-10-10,https://github.com/dogecoin/dogecoin/pull/1282,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1281,Add Dogecoin Core copyright line to splash screen,2015-10-10T16:03:21Z,2015-10-10,https://github.com/dogecoin/dogecoin/pull/1281,,,
dogecoin,dogecoin,Sporklin,https://avatars.githubusercontent.com/u/7656263?v=4,1283,Update copyright header to include Dogecoin,2015-09-15T20:05:09Z,2015-09-15,https://github.com/dogecoin/dogecoin/pull/1283,,,
dogecoin,dogecoin,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,1287,rebrand dogecoin-tx test,2015-09-15T19:30:21Z,2015-09-15,https://github.com/dogecoin/dogecoin/pull/1287,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1270,Update block height used to determine relevant parameters,2015-09-08T22:22:44Z,2015-09-08,https://github.com/dogecoin/dogecoin/pull/1270,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1279,qt: Replace thin spaces with locale-specific number formatting,2015-09-08T20:42:30Z,2015-09-08,https://github.com/dogecoin/dogecoin/pull/1279,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1276,Correct fee calculations to match legacy Dogecoin,2015-09-08T20:05:19Z,2015-09-08,https://github.com/dogecoin/dogecoin/pull/1276,,,
dogecoin,dogecoin,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,1277,fix for travis generating an extra build,2015-09-06T08:17:02Z,2015-09-06,https://github.com/dogecoin/dogecoin/pull/1277,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1273,Update testnet checkpoints and remove old seed,2015-08-30T17:26:11Z,2015-08-30,https://github.com/dogecoin/dogecoin/pull/1273,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1274,Corrected missing new lines in error messages,2015-08-30T16:48:53Z,2015-08-30,https://github.com/dogecoin/dogecoin/pull/1274,,,
dogecoin,dogecoin,langerhans,https://avatars.githubusercontent.com/u/5160000?v=4,1269,Add NODE_BLOOM service bit,2015-08-28T22:02:49Z,2015-08-28,https://github.com/dogecoin/dogecoin/pull/1269,,,
dogecoin,dogecoin,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,1268,auxpow tests,2015-08-26T20:33:28Z,2015-08-26,https://github.com/dogecoin/dogecoin/pull/1268,,,
dogecoin,dogecoin,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,1267,[auxpow] Check for auxpow fork strictly,2015-08-26T19:54:11Z,2015-08-26,https://github.com/dogecoin/dogecoin/pull/1267,,,
dogecoin,dogecoin,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,1264,[auxpow] Guarantee backward compatibility on getauxblock,2015-08-26T19:52:55Z,2015-08-26,https://github.com/dogecoin/dogecoin/pull/1264,,,
dogecoin,dogecoin,Sporklin,https://avatars.githubusercontent.com/u/7656263?v=4,1265,Unused in Dogecoin.,2015-08-23T13:33:59Z,2015-08-23,https://github.com/dogecoin/dogecoin/pull/1265,,,
dogecoin,dogecoin,Sporklin,https://avatars.githubusercontent.com/u/7656263?v=4,1266,Verify-commit changed to Dogecoin related content.,2015-08-23T13:33:41Z,2015-08-23,https://github.com/dogecoin/dogecoin/pull/1266,,,
dogecoin,dogecoin,Sporklin,https://avatars.githubusercontent.com/u/7656263?v=4,1257,1.10 branding debianfiles,2015-08-23T13:32:58Z,2015-08-23,https://github.com/dogecoin/dogecoin/pull/1257,,,
dogecoin,dogecoin,Sporklin,https://avatars.githubusercontent.com/u/7656263?v=4,1263,1.10 branding contribfiles,2015-08-23T11:04:02Z,2015-08-23,https://github.com/dogecoin/dogecoin/pull/1263,,,
dogecoin,dogecoin,Sporklin,https://avatars.githubusercontent.com/u/7656263?v=4,1254,Update qt forms.,2015-08-18T19:03:01Z,2015-08-18,https://github.com/dogecoin/dogecoin/pull/1254,,,
