org,proyecto,usuario,avatar_url,pr_number,pr_title,merged_at,merged_date,url,additions,deletions,changed_lines
stellar,product-conventions,kanwalpreetd,https://avatars.githubusercontent.com/u/5859175?v=4,50,add socket tier 1 reachability analysis,2026-07-01T17:29:09Z,2026-07-01,https://github.com/stellar/product-conventions/pull/50,79,0,79
stellar,kotlin-wallet-sdk,kanwalpreetd,https://avatars.githubusercontent.com/u/5859175?v=4,171,add socket tier 1 reachability analysis,2026-07-01T17:28:43Z,2026-07-01,https://github.com/stellar/kotlin-wallet-sdk/pull/171,83,0,83
stellar,frontend-helpers,kanwalpreetd,https://avatars.githubusercontent.com/u/5859175?v=4,17,add socket tier 1 reachability analysis,2026-07-01T17:27:35Z,2026-07-01,https://github.com/stellar/frontend-helpers/pull/17,79,0,79
stellar,freighter-backend-v2,kanwalpreetd,https://avatars.githubusercontent.com/u/5859175?v=4,108,add socket tier 1 reachability analysis,2026-07-01T17:25:36Z,2026-07-01,https://github.com/stellar/freighter-backend-v2/pull/108,82,0,82
stellar,freighter-backend,kanwalpreetd,https://avatars.githubusercontent.com/u/5859175?v=4,315,add socket tier 1 reachability analysis,2026-07-01T17:24:59Z,2026-07-01,https://github.com/stellar/freighter-backend/pull/315,83,0,83
stellar,account-viewer-v2,kanwalpreetd,https://avatars.githubusercontent.com/u/5859175?v=4,479,add socket tier 1 reachability analysis,2026-07-01T17:24:14Z,2026-07-01,https://github.com/stellar/account-viewer-v2/pull/479,79,0,79
stellar,anchor-platform,amandagonsalves,https://avatars.githubusercontent.com/u/64379712?v=4,1963,chore(release): merge release/4.5.0 to main,2026-07-01T16:56:37Z,2026-07-01,https://github.com/stellar/anchor-platform/pull/1963,2229,178,2407
stellar,laboratory,jeesunikim,https://avatars.githubusercontent.com/u/3912060?v=4,2135,Invoke Contract's Simulated Response to use CodeEditor header ,2026-07-01T16:25:09Z,2026-07-01,https://github.com/stellar/laboratory/pull/2135,30,40,70
stellar,stellar-dev-skill,oceans404,https://avatars.githubusercontent.com/u/91382964?v=4,40,"Add Terms of Service page, update community skills disclaimer, shared header/footer",2026-07-01T16:05:22Z,2026-07-01,https://github.com/stellar/stellar-dev-skill/pull/40,326,58,384
stellar,laboratory,jeesunikim,https://avatars.githubusercontent.com/u/3912060?v=4,2134,Update <TabView/>,2026-07-01T15:54:42Z,2026-07-01,https://github.com/stellar/laboratory/pull/2134,11,11,22
stellar,debit-card-reference,marwen-abid,https://avatars.githubusercontent.com/u/4129193?v=4,11,FIND-014 Strengthen CI/build assurance,2026-07-01T15:46:10Z,2026-07-01,https://github.com/stellar/debit-card-reference/pull/11,195,3,198
stellar,debit-card-reference,marwen-abid,https://avatars.githubusercontent.com/u/4129193?v=4,13,FIND-011: Harden velocity config validation and document upgrade safety,2026-07-01T15:41:39Z,2026-07-01,https://github.com/stellar/debit-card-reference/pull/13,121,3,124
stellar,packages,jayz22,https://avatars.githubusercontent.com/u/13401372?v=4,222,Add stellar-archivist-rs debian package,2026-07-01T15:20:08Z,2026-07-01,https://github.com/stellar/packages/pull/222,64,0,64
stellar,anchor-platform,amandagonsalves,https://avatars.githubusercontent.com/u/64379712?v=4,1961,chore(release): bump version to 4.5.0,2026-07-01T14:41:42Z,2026-07-01,https://github.com/stellar/anchor-platform/pull/1961,3,3,6
stellar,anchor-platform,amandagonsalves,https://avatars.githubusercontent.com/u/64379712?v=4,1957,[ANCHOR-1016]: Move testnet reset scripts into Anchor Platform repo,2026-07-01T14:02:35Z,2026-07-01,https://github.com/stellar/anchor-platform/pull/1957,420,30,450
stellar,stellar-disbursement-platform-backend,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,1153,Chore(deps): Bump the all-actions group across 1 directory with 2 updates,2026-07-01T10:17:19Z,2026-07-01,https://github.com/stellar/stellar-disbursement-platform-backend/pull/1153,15,15,30
stellar,stellar-disbursement-platform-backend,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,1152,Chore(deps): Bump the minor-and-patch group across 1 directory with 3 updates,2026-07-01T09:20:10Z,2026-07-01,https://github.com/stellar/stellar-disbursement-platform-backend/pull/1152,30,31,61
stellar,account-viewer-v2,satyamz,https://avatars.githubusercontent.com/u/5508956?v=4,481,Add github actions for docker build,2026-07-01T09:06:07Z,2026-07-01,https://github.com/stellar/account-viewer-v2/pull/481,100,0,100
stellar,freighter,piyalbasu,https://avatars.githubusercontent.com/u/6789586?v=4,2882,fix(sign-tx): show asset issuer for value-bearing operations,2026-06-30T21:28:47Z,2026-06-30,https://github.com/stellar/freighter/pull/2882,126,1,127
stellar,debit-card-reference,marwen-abid,https://avatars.githubusercontent.com/u/4129193?v=4,10,FIND-010 Close event and observability gaps,2026-06-30T21:19:09Z,2026-06-30,https://github.com/stellar/debit-card-reference/pull/10,198,11,209
stellar,debit-card-reference,marwen-abid,https://avatars.githubusercontent.com/u/4129193?v=4,9,FIND-008 Permit authority-reducing ops while paused,2026-06-30T21:03:38Z,2026-06-30,https://github.com/stellar/debit-card-reference/pull/9,125,9,134
stellar,wallet-backend,aditya1702,https://avatars.githubusercontent.com/u/15054664?v=4,642,feat(services): windowed coalescing + core protocol-migration,2026-06-30T20:55:09Z,2026-06-30,https://github.com/stellar/wallet-backend/pull/642,2377,1624,4001
stellar,anchor-platform,amandagonsalves,https://avatars.githubusercontent.com/u/64379712?v=4,1962,[ANCHOR-1231]: Race condition between RPC events and transaction index,2026-06-30T20:50:26Z,2026-06-30,https://github.com/stellar/anchor-platform/pull/1962,144,70,214
stellar,laboratory,kanwalpreetd,https://avatars.githubusercontent.com/u/5859175?v=4,2108,add socket tier 1 reachability analysis,2026-06-30T20:48:22Z,2026-06-30,https://github.com/stellar/laboratory/pull/2108,79,0,79
stellar,debit-card-reference,marwen-abid,https://avatars.githubusercontent.com/u/4129193?v=4,8,docs(security): address FIND-004 — document debitor key-compromise blast radius,2026-06-30T20:42:27Z,2026-06-30,https://github.com/stellar/debit-card-reference/pull/8,46,0,46
stellar,debit-card-reference,marwen-abid,https://avatars.githubusercontent.com/u/4129193?v=4,12,FIND-005: document fixed-window velocity semantics (terminology fix),2026-06-30T20:37:33Z,2026-06-30,https://github.com/stellar/debit-card-reference/pull/12,31,8,39
stellar,stellar-cli,fnando,https://avatars.githubusercontent.com/u/3009?v=4,2633,Add `--raw` flag to sign and verify messages without the SEP-53 prefix,2026-06-30T20:32:11Z,2026-06-30,https://github.com/stellar/stellar-cli/pull/2633,334,20,354
stellar,freighter,piyalbasu,https://avatars.githubusercontent.com/u/6789586?v=4,2877,feat(auth): per-request backend JWT + E2E round-trip (#2770),2026-06-30T20:26:49Z,2026-06-30,https://github.com/stellar/freighter/pull/2877,483,0,483
stellar,stellar-rpc,chowbao,https://avatars.githubusercontent.com/u/20801401?v=4,819,Streaming daemon: Phase 1 layer 3 — orchestration + daemon (closes #815),2026-06-30T20:04:29Z,2026-06-30,https://github.com/stellar/stellar-rpc/pull/819,3834,65,3899
stellar,wallet-backend,aditya1702,https://avatars.githubusercontent.com/u/15054664?v=4,638,feat(ingest): optimized datastore backend + flag/env config,2026-06-30T20:01:35Z,2026-06-30,https://github.com/stellar/wallet-backend/pull/638,1369,162,1531
stellar,freighter-mobile,JakeUrban,https://avatars.githubusercontent.com/u/10968980?v=4,899,refactor(send): unify Tokens/Collectibles loading and error states,2026-06-30T20:01:35Z,2026-06-30,https://github.com/stellar/freighter-mobile/pull/899,442,134,576
stellar,debit-card-reference,marwen-abid,https://avatars.githubusercontent.com/u/4129193?v=4,7,fix(security): address FIND-002 — extend storage TTLs on access,2026-06-30T20:01:08Z,2026-06-30,https://github.com/stellar/debit-card-reference/pull/7,315,15,330
stellar,laboratory,jeesunikim,https://avatars.githubusercontent.com/u/3912060?v=4,2133,[Network Limits] Add `ledger_max_dependent_tx_clusters`,2026-06-30T19:06:50Z,2026-06-30,https://github.com/stellar/laboratory/pull/2133,119,94,213
stellar,freighter,leofelix077,https://avatars.githubusercontent.com/u/22201848?v=4,2863,Fix muxed transaction history + disallow send to self,2026-06-30T18:27:21Z,2026-06-30,https://github.com/stellar/freighter/pull/2863,501,26,527
stellar,security-tools,kanwalpreetd,https://avatars.githubusercontent.com/u/5859175?v=4,4,add socket tier 1 reachability analysis,2026-06-30T18:23:44Z,2026-06-30,https://github.com/stellar/security-tools/pull/4,82,0,82
stellar,debit-card-reference,marwen-abid,https://avatars.githubusercontent.com/u/4129193?v=4,5,docs(security): address FIND-001 — owner as system root of trust,2026-06-30T16:51:32Z,2026-06-30,https://github.com/stellar/debit-card-reference/pull/5,55,0,55
stellar,wallet-backend,aditya1702,https://avatars.githubusercontent.com/u/15054664?v=4,639,perf(indexer): extract contract events directly from ledger meta,2026-06-30T16:28:02Z,2026-06-30,https://github.com/stellar/wallet-backend/pull/639,319,20,339
stellar,scf-handbook,JFWooten4,https://avatars.githubusercontent.com/u/60260750?v=4,9,📝 Inherit lumen valuation disclaimer,2026-06-30T16:05:03Z,2026-06-30,https://github.com/stellar/scf-handbook/pull/9,13,30,43
stellar,freighter-mobile,aristidesstaffieri,https://avatars.githubusercontent.com/u/6886006?v=4,917,feat(prices): migrate token prices to network-scoped v2 endpoint,2026-06-30T15:17:46Z,2026-06-30,https://github.com/stellar/freighter-mobile/pull/917,786,253,1039
stellar,stellar-docs,ElliotFriend,https://avatars.githubusercontent.com/u/2024293?v=4,2517,add content signals to the robots.txt file,2026-06-30T14:41:51Z,2026-06-30,https://github.com/stellar/stellar-docs/pull/2517,2,1,3
stellar,stellar-docs,alexvotofuture,https://avatars.githubusercontent.com/u/8337893?v=4,2530,Update CT and verifier links in privacy.mdx,2026-06-30T14:41:09Z,2026-06-30,https://github.com/stellar/stellar-docs/pull/2530,4,3,7
stellar,stellar-docs,ElliotFriend,https://avatars.githubusercontent.com/u/2024293?v=4,2496,add a claude skill to check and update SDK exmaple code,2026-06-30T14:16:37Z,2026-06-30,https://github.com/stellar/stellar-docs/pull/2496,203,0,203
stellar,medida,dmkozh,https://avatars.githubusercontent.com/u/77305791?v=4,38,Metric optimizations for stellar-core apply path,2026-06-30T04:41:20Z,2026-06-30,https://github.com/stellar/medida/pull/38,704,150,854
stellar,freighter-mobile,CassioMG,https://avatars.githubusercontent.com/u/3228151?v=4,915,Rename swap `isNew` → `requiresTrustline` (descriptor + telemetry),2026-06-29T23:54:25Z,2026-06-29,https://github.com/stellar/freighter-mobile/pull/915,128,117,245
